X,Y,OBJECTID,TOILET_NAME,ADDRESS,POSTCODE,WARD,OPENING,MALE,URINALS,FEMALE,UNISEX,ACCESS1,ACC_INFO,CHANGINGPLACE,AUTO_OPEN,PULL_CORD,RADAR,BABYCHANGE,FAMILYTOILET,AUTOLOO,ATTENDED,FULLTIMESTAFF
362290,176506,1,Snuff Mills Park Public Conveniences,"River View, Bristol",BS16 1DL,Frome Vale,"Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day",1,0,0,2,1,"YES - Door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, coloured skirting, non reflective wall, non slip floor, accessible lock",N,N,,Y,Y,N,N,N,N
358927.0,176401.949999999,2,Ardagh Public Conveniences Horfield Common,"Kellaway Avenue, Horfield, Bristol",BS6 7YL,Bishopston & Ashley Down,"Monday-Sunday 08.00-17.15 (winter), 08:00-21.15 (summer), excluding Christmas Day",1,1,2,0,1,"YES - Moveable support rail, door 86cm, cubicle 160 x 367cm, seat 48cm, coloured skirting, non reflective wall, non slip floor, accessible locks",N,N,No,Y,N,N,N,,N
357886.6605,172926.526900001,3,Brandon Hill Park - Public Conveniences ,"Great George Street, City Centre, Bristol",BS1 5PZ,Hotwells & Harbourside,"Monday - Sunday 08.00 - 15.30, excluding Christmas Day",1,1,1,0,1,"YES - Support rail, cubicle size 188 x 270cm, seat height 48cm, mirror, contrast skirting, non reflective wall, non-slip floors, accessible locks",N,N,no,N,Y,N,N,,N
356202,178727,4,Blaise Castle House Museum and Roman Villa,Henbury Road,BS10 7QS,Henbury & Brentry,"Thu- Sun 11:00- 16:00, open Mondays during Bristol school holidays 10:00-17:00. Full details available on www.bristolmuseums.org.uk",1,3,1,,0,NONE,N,,,,Y,N,N,,N
355773.639,171882.542099999,5,Ashton Court Estate Public Conveniences Stable yard,"Kennel Lodge Road, Long Ashton, North Somerset",BS41 9JN,North Somerset Ward,"Monday-Sunday 07.00-17:00 (winter), 07:00-19:00 (summer), excluding Christmas Day",2,2,5,0,1,"YES - Moveable hand rail, door 89cm, cubicle 167 x 194cm, seat of toilet 48cm, mirror, non reflect walls, non slip floor, accessible locks",N,N,,N,Y,N,N,,N
359420,168653,8,"Hengrove Play Park, Hengrove Leisure Centre,","Hengrove way, Hengrove, Bristol",BS14 0HR,Hengrove & Whitchurch Park,Only open when Play Park is open.,,,,,1,YES,N,,,,,N,N,,N
363423.8024,176684.259,11,Oldbury Court Estate - Public Conveniences ,"Oldbury Court Road, Bristol",BS16 2JH ,Frome Vale,"Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day",0,1,0,2,1,"YES - Support rail moveable, door 85cm, cubicle 200 x 220cm, 53cm seat height, mirror, colour contrast skirting, non reflective wall, non-slip floor",N,N,no,N,Y,N,N,N,N
356604,177321,13,Canford Park - Public Convenience,"Canford Lane Westbury-on-Trym, Bristol",BS9 3NX,Westbury-on-Trym & Henleaze,"Open: 8am to 8pm, 7 days a week",0,0,0,1,1,"YES - Cubicle size 200 x 180cm, seat height 48cm, handrails",N,N,Y,N,N,N,N,N,N
359324.4883,175169.5548,15,St Andrews Park - Public Conveniences,"Melita Road (& Effingham Road), Bristol",BS6 5AZ,Ashley,"Monday - Sunday 7:30-21:00, excluding Christmas Day",1,2,3,0,1,currently vandalised closed,N,N,,Y,N,N,N,,N
363356,172449,16,Dundridge Public Conveniences,Recreation Ground Dundridge Lane Bristol,BS5 8SZ ,St George Troopers Hill,During match play only,,,,,0,NONE,N,,,,,N,N,,N
360612,170755,18,Broadwalk Shopping Centre,"Broadwalk, Knowle, Bristol",BS4 2QU,Knowle,"Monday-Thursday 08:00-18:30, Friday 08:00-19:30, Saturday 08:00-18:00, Sunday 10:00-16:00",2,3,5,,1,"YES - Radar key. If you don't have a radar key, push bell",N,N,Yes- during opening hours,Y,Y,N,N,,N
361539,170532,19,Tesco - Callington Road,Callington Road,BS4 5AY,Brislington West,"Mon 8am then 24 hours until 10pm on Sats, Sun 10am - 4pm",Yes,0,Yes,0,1,"YES - door width 80cm, cubicle 148cmx230cm, seat height 48 cm, no locking lugs, handrails. ",N,N,Yes- during open times,N,Y,N,N,,N
355952,174767,36,Sea Walls Public Toilets,Circular Road By Sea Walls viewing Area,BS9 1ZZ,Stoke Bishop,Monday - Saunday  7:30-18:00,2,1,3,,Yes,"Door size 100cm. Movable supportrails, Cubical size 200- 210cm. Seat height 49cm",N,N,N,Y,Y,N,N,N,N
357195,174938,38,Stoke Road Public Toilets,Stoke Road by the Water Tower,BS9 1FG,Stoke Bishop,"7 days per week, 7:45 - 20:15",4,5.4m,9,,Yes,,N,,,,,N,N,,N
356657,173197,39,Suspension Bridge Toilets,"Suspension Bridge Road, opposite toll station",BS8 3ZZ,Clifton,7 days a week 10:00-17:00,1,,1,1,Yes,,N,N,yes during opening hours,Y,Y,N,N,Y,N
358541,172254,47,Mshed,"Prince's Wharf, Wapping Road",BS1 4RN,Central,Tuesday-Sunday 10am-5pm also open Mondays during Bristol school holidays 10:00-17:00,3,8,3,,2,"YES - 2 fully accessible, on ground floor and first floor",N,,,,Y,N,N,N,N
357599.2384,168335.8254,48,The Gatehouse,Hareclive Road Bristol,BS13 9JN,Hartcliffe & Withywood,,,,,,0,YES -,,,,,,,,,
356568.3428,177456.8851,50,Canford Cemetery and Crematorium,"Canford Lane, Westbury-on-Trym, Bristol",BS9 3PQ,Westbury-on-Trym & Henleaze,"Monday-Friday 09:00-16:00, weekends and bank holidays 11:00-16:00",0,0,0,1,1,"YES - Support rail moveable, door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, colour contrast skirting, non reflective wall, non-slip floor",N,N,Yes. During opening hours,N,N,N,N,N,Y
356679.2247,169655.3464,51,South Bristol Crematorium and Cemetery,"Bridgwater Road, Bristol",BS13 7AS,Bishopsworth,"Monday-Friday 09:00-16:00, weekends and bank holidays 11:00-16:00",1,,1,,1,"YES - Female and disabled toilets shared access, ramp to the door",N,N,No,N,N,N,N,N,Y
361527.47,174753.226,52,Greenbank Cemetery (The Mortuary),"Greenbank Road, Easton, Bristol",BS5 6HL,Eastville,Monday- Friday 09:00-16:30,,,,1,0,None,N,N,No,N,N,N,N,N,Y
351885,177986,53,Avonmouth Medical Centre (Pioneer Medical Group),"1 Collins Street, Bristol",BS11 9JJ,Avonmouth & Lawrence Weston,"Monday-Thursday 08:00 - 18:30, Friday 08:00-17:00",0,0,0,2,1,"YES - Moveable rail, door 94cm, cubicle 153 x 167cm, seat height 48cm, accessible locks",N,N,Y during open times,N,Y,N,N,Y,Y
361046.2638,174721.0416,55,East Trees Health Centre,100a Fishponds Road,BS5 6SA,Eastville,"COVID-19: CLOSED Monday 08:00-19:30, Tuesday-Friday 08:00-18:30",2,,2,,1,"YES - Door width 90cm, cubicle size 220 x 140cm, moveable support rails",N,N,Yes during open times,,,Y,,,
360852,175161,58,Burger King,"4 Eastgate Road, Eastgate Centre",BS5 6XX,Lockleaze,"COVID-19: CLOSED Monday-Friday 08:00-23:00, Saturday-Sunday 09:00-23:00",,,,,1,YES,N,N,Yes - during open times,N,Y,N,N,,N
360932,173181,60,Barton Hill Settlement,41-43 Ducie Road,BS5 0AX,Lawrence Hill,Monday - Friday 9:00 - 16:00,2,,2,0,2,"YES- toilet height 48cm, cubicle size 150cmx 210cm, contrasting walls and floor, hand rails, mirror",N,N,Yes- during open time ,N,Y,N,N,Y,Y
357577,175894,65,Waitrose - Henleaze,51 Northumbria Drive,BS9 4HN,Westbury-on-Trym & Henleaze,"Monday-Saturday 7.30am-9pm, Sunday 10am-4pm",0,0,0,1,1,YES - Cubical size 180-240cm. Seat height 48cm. Handrails,N,N,Yes- during open times,N,Y,N,N,Y,Y
359164.6483,168807.4164,69,McDonald's - Hengrove Leisure Park,"Hengrove Leisure Park, Hengrove Way",BS14 0HR,Hengrove & Whitchurch Park,07:00 - 23:00,Yes,?,Yes,,0,,N,,,,Yes,N,N,,N
360389,168476,71,Asda Whitchurch,"Whitchurch District Centre, Oatlands Avenue",BS14 0ST,Hengrove & Whitchurch Park,"Monday 08:00-23:00; Tuesday-Friday 7.30am-11pm; Saturday 7am - 10pm; Sunday 10am - 4pm",1,2,4,,1,YES,N,N,Yes - during store opening hours,N,Y,N,N,Y,N
359568.5663,177355.7269,76,Horfield Lesuire centre,"Dorinan Road, Horfield",BS7 0XW,Horfield,"OPEN Monday-Friday 06:30-22:30, Saturday-Sunday 08:00-20:00",1,1,2,,1,YES - Cubical size 200-290cm. Door 80cm. Seat height 48cm,N,N,Yes - during open times,N,N,N,N,Y,Y
361076,171629,78,Burger King - St Phillips Causeway,St Phillips Causeway,BS4 3BD,Brislington West,"10am-10pm Sun-Thu; Fri 10am-12 midnight; Sat 9am-12 midnight",,,,,0,,N,,,,,N,N,,N
363274,175758,79,JD Weatherspoon - Van Dyck Forum,"Van Dyck Forum, 748-756 Fishponds Road",BS16 3UA,Frome Vale,Sunday - Thursday 08:00 - 00:00. Friday - Saturday 08:00- 01:00.,3,6,6,,1,"YES - Cubical size 200x140cm, Seat height 49cm, Handrails",N,N,Yes- during open times,Y,Y,N,N,,N
356482,178746,83,Stonehouse Pizza and Carvery,Henbury Arms 189 Henbury Road,BS10 7AD,Henbury & Brentry,Monday - Sunday  08:00 - 22:00,2,5,2,0,1,YES - Cubical size 200x140cm. Seat height 48cm. Handrails.,N,N,Yes - During opentimes,N,N,N,N,Y,Y
357075.5593,168160.107100001,84,Creative Workspace,"Queens Road, Withywood, Bristol",BS13 8LF,Hartcliffe & Withywood,Tuesday-Friday 9:00-15:00,2,,3,,1,"YES - Movable supported rails, Door width 85cm, Size of cubical 2m by 2m, Seat height 48cm, Mirror, Non-slip floor, Colour contrasting skirting",,,,,,,,,
357837.2165,178014.666099999,92,"The Greenway Centre, The Southmead Development Trust","The Greenway Centre, Doncaster Road",BS10 5PY,Southmead,"Mon-Fri 8am-10pm, Sat-Sun 9am - 5pm",1,3,4,0,1,Yes - has disabled shower in the unit,N,N,Yes - while open,N,Y,N,N,Y,Y
357100.7147,177290.7247,95,Grupo Lounge (Lounges),8 Canford Lane,BS9 3DH,Westbury-on-Trym & Henleaze,Mon- Sun 9am-11pm,1,,2,,1,"YES- door width 85cm, cubicle size 220x130cm, seat height 48cm, handrails, mirror, contrasting floor wall, ",,N,Yes during open times ,N,Y,,N,,
358263,172797,102,"City Hall, Bristol City Council","College Green, Bristol",BS1 5TL,Hotwells & Harbourside,Monday-Friday 08:00-19:00,7,5,7,0,2,YES,Y,Y,Yes - accessible toliets and changing places only,N,Y,N,N,Y,N
361154,172171,107,McDonald's - Avonmeads,"Avonmeads Retail Park, St Philips Causeway",BS2 0SP,Lawrence Hill,06:00 - 23:00,Yes,?,Yes,,0,,N,,,,Yes,N,N,,N
358223.746,172672.4334,108,Bristol Central Library,"Deanery Road, Bristol",BS1 5TL,Hotwells & Harbourside,COVI-19: CLOSED Monday -Thursday 10:00-19:00 CLOSED Wednesday. Friday- Saturday 10:00- 16:45. Sunday 13:00- 16:45.,2,3,3,0,1,"YES Unit size 2.9m x 2.52m, Door width 0.9m,Seat height 44cm. Support rails moveable, Contrasting skirting, Non reflective surfaces",Y,N,"Accessible unit only, during opening hours",N,Y,N,N,Y,N
360276,174283,109,Junction 3 Library,Junction 3 Library Baptist Mills Court Bristol,BS5 0FJ,Lawrence Hill,"1 - 7 Monday, 11 - 5 Tuesday, 1 - 7 Wednesday, 11 - 5 Friday, 10 - 5 Saturday",,,,2,Yes,Level access,N,N,,N,Y,N,N,N,N
359020.0625,175297.6875,112,Bishopston Library,"Bishopston Library, Gloucester Road, Bishopston, Bristol",BS7 8BN,Redland,"1pm-7pm Monday, 11am-5pm Wednesday, Thursday, Friday and Saturday",,,,1,1,"Level access entry, automatic opening doors, accessible lift to first floor, accessible toilet.",N,,,,,N,N,N,N
363072,175538,113,Fishponds Library,"Robinson House, Hockeys Lane, Bristol",BS16 3HL,Eastville,"Monday-Tuesday 10am-5pm, Thursday 11am-7pm, Friday-Saturday 10am-5pm, Sunday closed.",,,,1,1,"YES - Single unit - unisex, Disabled access and Baby change",N,N,,N,Y,N,N,N,N
357105,179155,114,Henbury Library,"Crow Lane, Henbury",BS10 7DR,Henbury & Brentry,"11-5 Monday, 11-7 Wednesday, 11 - 5 Friday, 11 - 5 Saturday",,,,1,Yes,Level access,N,N,N,N,Y,N,N,N,N
362282,173643,115,St George Library,"St George Library, Church Road, St George, Bristol",BS5 8AL,St George West,"3-7 Monday, 10 - 2 Tuesday, 1-5 Wednesday, 10-2 Thursday, 1-5 Friday, 11-5 Saturday",,,,1,Yes,,N,N,N,N,Y,N,N,N,N
358369,172553,116,We the Curious - Cafe,"Anchor Road, Bristol",BS1 5DB,Hotwells & Harbourside,"Monday-Friday 10:00-17:00, (during term time), 10:00-18:00, weekends, bank holidays and Bristol school holidays",0,0,0,2,1,"YES - Support rail door 90cm, Cubical size 220 x 168cm, Seat 48cm, non slip floor, large catch. Hoist",N,,yes,Y,Y,N,N,,N
359157,173225,118,The Galleries Shopping Centre,"25 Union Gallery, Broadmead",BS1 3XD,Central,"Mon ¿ Sat 9am-7pm, Sun 11am-5pm",Yes,?,Yes,,0,,N,,,,Yes,N,N,,N
356841.7625,172197.5921,122,Create Centre,"Smeaton Road, Howells",BS1 6XN,Hotwells & Harbourside,"COVID-10: CLOSED Monday-Thursday 8:30am-5pm, Friday 8:30am-4:30pm, Saturday 10am-4pm first two Saturdays of the month.",2,3,3,2,3,"YES - 3 units, one in the female toilets, one in the male and one unisex.",N,N,Y during open times,N,Y,N,N,Y,N
358012,171807,124,Southville Centre,Beauley Road,BS3 1QG,Southville,"Monday-Thursday 8:30-20:15, Friday 8:30-18:00.",1,3,3,,1,"YES - Door 86cm, Cubical: 193x199cm. Seat height 48cm. Support rails.",N,,Yes during open times,N,Y,N,N,Y,Y
358894,171647,125,Windmill Hill City Farm,"Philip Street, Bedminster, Bristol",BS3 4EA,Southville,Monday-Sunday 09:00-17:00. Closed December 25-January 2,1,2,1,2,2,YES - Cafe toilets are accessible,,N,Yes. During opening hours,N,Y,Y,N,,Y
357883.0685,172381.476299999,128,SS Great Britain,"Great Western Dockyard, Gas Ferry Road, Bristol",BS1 6TY,Hotwells & Harbourside,Monday-Sunday 10:00-16:30,,,,,1,YES,,,,,,,,,
358050,173208,130,Bristol Museum and Art Gallery,"Queens Road, Bristol",BS8 1RL,Central,OPEN Tues- Sun 10:30- 17:00,1,3,1,,1,YES,N,N,y during opentimes,N,Y,,N,N,
358483.0193,172470.7654,134,V-shed (JD Weatherspoons),"V Shed, Canon's Road",BS1 5UH,Hotwells & Harbourside,"Monday 8:00-00:00, Tuesday 8:00-1:00, Wednesday-Friday 8:00-2:00, Saturday 8:00-3:00, Sunday 8:00-00:00",3,5,9,,1,"YES - Moveable support rail, door width 29cm, cubical size 207 x 314cm, seat height 44cm, mirror, colour contrasting, non-slip floor",N,,yes,Y,Y,N,,,
359442.7223,168401.3159,137,Hengrove Leisure Centre,Hengrove Park Leisure Centre Hengrove Promenade Bristol,BS14 0DE,Hengrove & Whitchurch Park,,,,,,1,,,,,,,,,,
359672.7159,170240.763800001,138,"The Park, Daventry Road","Daventry Road, Knowle, Bristol",BS4 1DQ,Knowle,"Monday-Friday 7:00-22.00, Saturday-Sunday 9:00-16:00",1,,3,,1,"YES - Support rail moveable, door width 95cm, cubical size 220 x 242cm, height of seat 50cm, non reflecting wall, non slip floor",,,,,Y,,,,
354717.0459,178648.4539,139,"Ambition Lawrence Weston, Lawrence Weston Youth Centre","Lawrence Weston Road, Long Cross, Bristol",BS11 0RX,Avonmouth & Lawrence Weston,Monday to Friday 09:00-16:00 with ad-hoc additional hours,,,,,1,"YES - Handrails, non slip floor, mirror",,,,,,,,,
357678,174070,141,Sainsbury's - Clifton Down,"Clifton Down Shopping Centre, Whiteladies Road",BS8 2NN,Clifton Down,COVID-19: OPEN Monday-Saturday 08:00-22:00 Sunday 11:00-17:00,2,,3,,1,"YES- Cubical size 140 x 300cm, door width 103cm, height of seat 49cm.",N,N,Y - During open times,N,Y,N,N,Y,Y
355132.3865,176758.2842,145,Cafe on the Square,"Shirehampton Road, Bristol",BS9 2DY,Stoke Bishop,Monday-Saturday 10:00-14:00,0,0,0,1,1,"YES - Door 90cm, seat height 48cm, cubical size 152-200cm",N,N,N,N,Y,N,N,Y,Y
354956.5876,176418.423900001,153,Helios - Sea Mills Surgery,2 Riverleaze,BS9 2HL,Stoke Bishop,Monday-Friday 08:00-18:30,0,0,0,1,1,"YES - Moveable support rail, door 78cm, cubical 210 x 164cm, toilet height 45cm, non reflective wall/non-slip floor",N,Y,yes during opening hours,N,Y,N,N,Y,Y
359433.25,173369.968800001,155,Cabot Circus Shopping Centre 3rd Floor Management Suite,"Glass House, Broadmead",BS1 3BX,Central,"Covid-19 update: open Monday-Saturday 09:00-20:15, Sunday 09:00-17:30",7,13,24,0,5,"YES - 5 units, support rails, seat height is 36- 40cm, contracting skirting, non slip foor, non reflecting walls and floors",N,N,Y during open times,N,Y,N,N,Y,Y
358628.6613,170062.5032,156,William Budd Health Centre,"Knowle Health Park, Downton Road",BS4 1WH,Filwood,08:30-18:30 Monday-Friday,2,0,2,0,1,"YES - Support rails, cubicle size 200 x 150cm, door width 87cm, seat height 44cm, mirror, non reflective walls, non slip floor and accessible lock",N,Y,yes,N,Y,N,N,,Y
355338,172656,157,"Ashton Court Estate, golf hub Public Conveniences","Golf Hub, Rownham Hill, Long Ashton, North Somerset",BS8 3PX,North Somerset Ward,"7.00 until 17.00 - 19.00, excluding Christmas Day",1,1,1,2,1,"YES - Movable support rail, Door 90cm, Cubical 220x153, Seat height 49cm, mirror, non reflective wall, non slip floor?",N,Y,yes,N,Y,N,N,,N
352287.7992,177007.121099999,158,A4 Portway Park & Ride,"A4 Portway, Bristol",BS11 9QE,Avonmouth & Lawrence Weston,Monday-Saturday 06:00-21:40 Sunday 09:00-18:40,,,,,1,"YES - Cublical size 150-300cm, Seat height 48cm, handrails",N,N,Yes - During opperational times,N,N,N,N,N,N
357230.2575,179219.249299999,159,Bradgate Health Centre (Pioneer Medical Group),"Ardenton Walk, Brentry",BS10 6SP,Henbury & Brentry,"Monday-Friday 08:00-18:30, Saturday 08:00-13:00",0,0,0,2,1,"Yes - Cubical size 200x200cm. Door 100cm, Seat height 40cm.",N,N,No,N,Y,N,N,Y,Y
358387.0287,167523.521600001,160,Morrison's - Hartcliffe,"Hareclive Road, Petersons Avenue, Hartcliffe",BS14 0BE,Hartcliffe & Withywood,7am - 10pm,2,3,3,,1,YES - Cubical size 140-200cm. Seat Height 48cm. handrails.,N,,Y during open hours,N,Y,N,N,Y,Y
358834.1814,171864.744000001,162,Bedminster Library,"4, St Peters Court, Bedminster Parade, Bedminster, Bristol",BS3 4AQ,Southville,"Only accessible to people with bladder, bowel & other health issues Mon10am to7pmTuesClosedWed10amto7pmThurs10amto5pmFri10amto5pmSat10amto5pmSunClosed",0,0,0,,,"Radar key required. Door width 93cm, cubicle 230x198cm, seat hight 48cm, Handrails. Low level lighting ",,N,,Y,N,N,N,N,
357661.5504,172182.7652,163,Spike Island,"133 Cumberland Road, Bristol",BS1 6UX,Hotwells & Harbourside,"Monday-Friday 10:00-17:00, 10:00-16:00 Saturday-Sunday",,,,5,1,YES - Separate unit to main toilets. Clean & tidy. Enough space to turn a wheelchair.,N,N,Yes - during opening hours,N,Y,N,N,Y,N
363102.3539,173463.5781,165,Air Balloon Surgery,"Kenn Road, St George, Bristol",BS5 7PD,St George Central,Monday-Friday 08:00-18:30,1,,1,,1,"YES - Door 90cm. Cubical 240x180cm. Seat height 46cm, handrails",N,N,Yes during open times,N,Y,N,N,Y,Y
358701,176477,166,Tesco - Golden Hill,"Golden Hill, Lime Trees Road",BS6 7XW,Westbury-on-Trym & Henleaze,"Monday-Saturday 08:00-22:00, Sunday 10:00-16:00",1,2,2,,1,YES - Movable handrails. Cubical size 150-170cm. Seat height 48cm.,N,N,Y - During open times,N,Y,N,N,Y,Y
357446.8669,174683.0207,167,The Jersey Lily,"193 Whiteladies Road, Bristol",BS8 2SB,Clifton Down,"Monday-Wedensday 11:00-23:00, Thurs- Saturday 11:00-00:00, Sunday 12:00-23:00",1,3,1,,0,NONE,,,,,,,,,
358538,172702,168,Watershed,"1 Cannons Road, Harbourside, Bristol",BS1 5TX,Hotwells & Harbourside,"Monday-Friday 9:00-23:00, Saturday-Sunday 10:00-23:00",4,4,5,,1,"YES - Movable support rail, Door width 86cm, Cubical size 170x214, Seat height 47cm, Mirror, Colour contrasting skirting, Non-slip floor",N,,yes,,Y,N,N,,N
359304.2458,176170.6502,170,Tinto Lounge,"344-346 Gloucester Road, Horfield, Bristol",BS7 8TP,Bishopston & Ashley Down,"Monday-Friday 8am-11pm, Saturday and Sunday 9am-11pm",,,,,0,NONE,,,,,,,,,
361036.0916,176943.813100001,172,The Hub,"1 Fedden Building, Gainsborough Square",BS7 9FB,Lockleaze,Monday - Friday 9am - 3pm,1,,1,,Yes,YES,N,,,,Y,,,Y,Y
359369.8775,173136.9157,174,Vaulted Chambers Cafe,Castle Park,BS2 0HQ,Central,Wed-Sun 09:30 to 16:30,,,,,1,,,,,,,,,,
359499.1288,173491.5101,179,"Cabot Circus Shopping Centre, Lower ground floor","Glass House, Broadmead",BS1 3BX,Central,"Monday-Saturday 09:00-20:15, Sunday 09:00-17:30",9,20,19,,4,"YES - 4 standard units; support rails; seat hight 36- 40cm; non slip foor, none reflecting walls/floors, CP seat hight 47cm hoist and changing table",Y,N,Yes 24 hour,Y,Y,,N,Y,Y
362932.4154,172157.423900001,180,Conham River Park,Conham Road,BS15 1AW,St George Troopers Hill,,,,,,0,NONE,,,,,,,,,
351620.6049,178145.450200001,197,Avonmouth Community Centre,"257 Avonmouth Road, Avonmouth",BS11 9EN,Avonmouth & Lawrence Weston,Monday - Thursday 09.30-16:30,1,3,2,,1,"YES - Movable support rails, Cubical size 170 - 240cm. Seat height 46cm.",N,N,Y - Monitored during open times,N,N,N,N,Y,Y
356950.5734,171329.0779,198,Ashton Gate Limited,"Coffee Shop, Ashton Gate Stadium, Bristol",BS3 2EL,Bedminster,Monday-Friday 08:00-16:00 closed to public on Match days,,,,1,1,YES - Cubical size 140-240cm. Seat height 48. handrails,N,N,Yes - during open times,N,Y,N,N,Y,Y
358857.8029,169775.0856,199,Knowle West Media Centre,Knowle West Media Centre Leinster Avenue Bristol,BS4 1NL,Filwood,Monday -Friday 9:30-17:00,2,,2,,1,YES - Door width 90cm. cubical size 150-210cm. Seat height 48cm.,N,N,Yes- during open times,N,Y,,N,Y,Y
359355.3452,176217.5254,203,The Royal Oak,383 - 385 Gloucester Road Horfield Bristol,BS7 8TN,Bishopston & Ashley Down,Mon - Sun,3,2,5,0,1,,No,No,No,No,1,No,Yes,No,
357151.1596,179182.206599999,211,The Old Crow,Crow Lane,BS10 7DR,Henbury & Brentry,Monday - Sunday 11:00 - 23:00,2,7,2,0,0,NONE,N,N,No,N,N,N,N,Y,Y
359334.751,172454.350199999,212,BCC Customers Service Point,"100 Temple Street, Redcliff, Bristol",BS1 6AG,Central,"Monday-Tuesday 9am-4:45pm, Wednesday 10am- 4:45pm  Thursday-Friday 9am-4:45pm",,,,3,1,"YES - 2 units, 1 is changing places",Y,Y,Y during opening times,Y,Y,,,Y,
355909.2172,178692.7315,213,Blaise Castle Estate Public Conveniences,"Kings Weston Road, Kingsweston, Bristol",BS10 7QT,Henbury & Brentry,"Winter Monday - Sunday 08.30 -15:30. Summer Monday - Friday  8:30 - 16.00 hours, excluding Christmas Day",2,1,5,0,1,"YES - Movable hand rail, Coor 91cm, Cubical 220x270. Height of seat 43cm, mirror, no reflective wall, non slip floor accessible locks",N,,yes,Y,Y,N,N,,N
360338.7593,170711.2711,214,Redcatch Park Public Conveniences,"Broad Walk, Knowle, Bristol",BS4 2RA,Knowle,"7.00 until 16.30 winter - 20.00 summer hours, excluding Christmas Day",2,1,2,,1,"YES - Support rail mobile door 80cm, 175x100cm cubical, seat 47cm, non reflective wall, non slip floor, accessible lock",N,N,no,Y,N,N,N,N,N
360376.2284,170704.751499999,215,Redcatch Park Pavillion,"Redcatch Park, Broad Walk, Knowle",BS4 2RA,Knowle,07:00- 16:00 for event or when other toilets in the park are broken,0,0,0,2,1,"YES - movable support rail, door 89cm, 171x150cm, 42cm high, mirror, coured skirting, non slip floor, non reflective wall, accessible lock",N,N,no,N,N,N,N,N,
